name;strasse;plz;ort;vorwahl;tel;url;opac;öffnungszeiten;bestandsgrößenklasse;unterhaltsträger;dbv;leitung;laenge;breite
Universitätsbibliothek Greifswald;Felix-Hausdorff-Str. 10;17489;Greifswald;-3834;86 15 02;http://www.uni-greifswald.de/bibliothek/html;;Mo-Fr.: 8-24, Sa: 9-24 Uhr;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;13.379.627;5.409.581
Staatsbibliothek Bamberg ;Neue Residenz, Domplatz 8;96049;Bamberg;-951;9 55 03 - 0;https://www.staatsbibliothek-bamberg.de;https://katalog.ub.uni-bamberg.de;Mo - Fr 9:00 - 17:00 Uhr, Sa 9:00 - 12:00 Uhr (im August Sa geschlossen);300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.886.786;49.893.387
Universitätsbibliothek Kassel - Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel;Diagonale 10;34127;Kassel;-561;804-2117;http://www.uni-kassel.de/ub;https://hds.hebis.de/ubks;Mo - Fr 8 bis 23 Uhr. Sa u. So 10 bis 21 Uhr;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.495.199;51.314.684
Staats- und Universitätsbibliothek Bremen;Bibliothekstr.;28359;Bremen;-421;2 18-59401;http://www.suub.uni-bremen.de;;Mo-Fr 8.00-22.00 h. Sa 10.00-18.00 h;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.809.338;53.075.606
Fürstliche Schaumburg-Lippische Hofbibliothek In Verwaltung des Niedersächsischen Landesarchivs - Standort Bückeburg -;Schlossplatz 2;31675;Bückeburg;-5722;96 77-30;http://www.nla.niedersachsen.de;;Mo, Di, Do 9.00-16.00 Uhr, Mi 9.00-18.00 Uhr, Fr 9.00-13 Uhr;30.001 bis 100.000;Private Trägerschaft;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.050.444;52.260.372
Technische Universität Berlin Universitätsbibliothek;Fasanenstraße 88 (im VOLKSWAGEN-Haus);10623;Berlin;-30;314-76101;http://www.ub.tu-berlin.de;http://portal.ub.tu-berlin.de;Zentralbibliothek: Mo-Fr 9-22 Uhr, Sa 10-18 Uhr;1.000.001 und mehr;Körperschaft/Stiftung des öff. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;13.405.538;5.251.767
Stiftung Tierärztliche Hochschule Hannover. Bibliothek;Bünteweg 2;30559;Hannover;-511;9 53-7110 und 7100;http://www.tiho-hannover.de;;Mo., Mi., Fr.   11 - 19, Di., Do. 9 - 17, Sa. 10 - 13;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.738.084;52.374.551
Stadtbibliothek Memmingen;Martin-Luther-Platz 1;87700;Memmingen;-8331;8 50-157;http://www.memmingen.de/468.html;;;30.001 bis 100.000;Kommune/Gemeinde;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.184.968;47.988.445
Staatliche Bibliothek Neuburg/Donau;Karlspl. A 17;86633;Neuburg/Donau;-8431;91 06;http://www.sbnd.de;http://opac.sbnd.de;Mo 13.30-16.00. Di 13.30-18.00. Mi 13.30-16.00. Do 10.00-12.00 und 13.30-16.00. Fr 10.00-13.30;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.185.398;48.732.441
Kommunikations- und Informationszentrum der Universität Ulm (kiz) / Abt. Informationsversorgung und Abt. Informationsmedien;Albert-Einstein-Allee 37;89081;Ulm/Donau;-731;50-3 03 00 und 50-3 00 00;http://kiz.uni-ulm.de;http://www.uni-ulm.de/index.php?id=1357;Mo - Fr 8:00 - 22:00 Uhr, Sa 10:00 - 20:00 Uhr;300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.990.402;48.398.454
