NR;Name;Bibliothek;DBS-ID;1;2;3;4;5.1;5.2;5.3;5.4;6;7;8;9;10;11;12;13.1;15;16;17;18;19;20;21;30;34;38;39;40;41;42;46;50;54;58;62;63;64;65;66;70;74;78;79;80;81;82;90;98;102;110;111;113;113.1;113.4;113.5;114;118;121;122;123;130;131;132;133;134;135;138;141;142;143;144;146;147;148;149;150;151;151.1;152;152.1;153;154;157;159;162;163;164;165;166;167;170;172;174;175;176;176.1;177;178;178.1;178.2;178.3;178.4;179;180;181;183;184;184.1;184.2;185;186;189;190;191;192;195;196;197;198;201;202;203;204;207;208;210;211;212;213;214;215;216;217;218;219;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252;253;254;255;256;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;293;294;295;296;297;298;299;300;301;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317;318;319;320;321;322;323;324;325;326;327;328;329;330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;358;359;360;361;362;363;364;365;366;367;368;369;370;371;372;373;374;375;376;377;378;379;380;381;382;383;384;385;386;387;388;389;390;391;392;393;394;395;396;397;398;399;400;401;402;403;404;405;406;407;408;409;B.1.2.4;B.1.3.1;B.1.3.2;B.1.4.1;B.2.2.1;B.2.2.4;B.2.2.5;B.3.3.3;B.3.4.1;B.3.4.2;B.4.2.2;B.4.3.1
1;Aachen UB RWTH;Universitätsbibliothek der RWTH Aachen;AJ082;2;45,628;3,056;27,667;;;;;348;108;75;;4;11,303;3,402;;6,151;552;22;1,188,213;13,382;6,317;476,395;2;1,466;3,308,552;7;0;24,196;;;;;;0;56;215;1,364;;;;95;0;0;0;;;;3;38,046;2,452;1,709,662;;;;0;709;1,122,395;674;149,664;50;25,482;15,739;5,728;2,372,542;12,036;1,539;12,064;2,011;0;N;482;12,064;2,493;4,663,216;4,580,632;4,094,241;;0;;7,845;382,578;0;5,969,856;11,015,650;9,804,962;17,634;91,100;9,913,696;341,088;217,773;9,893;;14,455;N;;532;4,708;;;;;N;N;40,800;2,620,625;N;;;14,737;17,746;;;10,638;16,123;0;0;50;419;0;0;1,343;5,774;0;0;N;;;;;109.44;51.6;41.93;15.91;0.62;11.16;24.5;157.83;105;0;7;80;18;N;806,750;5,728;N;N;N;298,123;1,830;12,861;142;38;23,309;5,262;1,117;57;8;78,283;5,403;0;221;0;6,373;3,326;0;76;0;11,490;2,578;698;226;10;28,409;4,146;1,052;343;8;8,648;2,419;976;110;10;160,518;36,327;4,674;1,436;32;70,918;1,648;5,574;20;17;138,635;683;50;58;1;75,103;2,152;373;380;3;180,428;4,170;6,470;422;15;208,196;5,801;1,190;449;3;642,660;1,052;2,472;101;3;117,953;325;304;343;1;237,733;6,899;36;777;3;1,145,925;81,274;84,246;2,136;201;251,646;2,665;673;96;5;402,143;15,027;10,502;857;33;211,786;8,093;0;627;0;71,461;6,929;7,980;435;28;0;0;0;0;0;37,098;959;0;26;3;24,592;4,615;3,213;280;35;1,391;522;0;10;0;0;0;0;0;0;107,367;1,149;1,955;54;17;37,763;2,775;465;90;4;25,672;6,598;761;312;12;917;145;0;2;0;5,657;1,707;307;48;6;0;0;0;0;0;522;522;0;28;0;20,457;8,331;2,690;331;24;24,194;2,998;1,062;378;6;72;70;11;2;#WERT!;0 ;97 ;0.53 ;398.15 ;#WERT!;10 ;1.1 
2;Aalen FH;Hochschulbibliothek Aalen;DX455;1;5,979;326;3,590;8,604;6,825;387;1,284;279;67;0;0;1;697;628;69;0;129;10;52,199;2,476;1,736;107,961;0;0;1;0;0;0;0;0;N;N;N;174;167;1;160;N;0;0;0;0;0;0;0;0;0;0;117,298;30,471;369,966;117,223;191,718;0;N;75;178,248;390;53,448;6;48,265;44,216;4,541;18,223;300;N;2,476;30,471;0;0;N;2,476;30,471;496,450;496,450;388,489;0;0;0;N;86,191;N;278,609;861,250;841,889;0;19,361;861,250;71,556;49,690;1,232;N;N;50,406;;83;2,326;0;0;0;N;202,270;N;2,893;N;N;N;N;829;1,072;0;0;424;993;N;N;59;293;0;0;26;253;0;0;3,081;131;0;N;N;4.75;2.25;2;0;0;0.5;0.5;N;1;0;1;0;0;390;52,199;N;496,450;4.75;256,357;N;N;N;N;N;0;0;0;0;0;N;N;N;N;N;0;0;0;0;0;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;0;0;0;0;0;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;0;N;N;N;N;0;N;N;N;N;N;N;N;N;N;N;0;0;0;0;0;0;0;0;0;0;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;0;0;0;0;0;0;0;0;0;0;N;N;N;N;0;N;N;N;N;0;51;100;20;1;8;0 ;369 ;0.55 ;239.90 ;17.09 ;#WERT!;2.2 
3;Amberg/Oberpf.  SB;Staatliche Bibliothek (Provinzialbibliothek) Amberg;AL054;1;;;1,339;1,339;;;;242;36;86;5;9;1,604;438;108;1,058;21;12;136,412;2,014;0;56,970;308;N;1,350;N;N;N;;;;;;N;;;;;;;617;0;0;0;165;450;0;N;;;;;;;;;;123;8,763;1;2;2;2;438;0;0;2,020;5;0;0;0;2,020;5;60,881;58,453;438;;;;1,990;133,509;6,797;N;201,316;194,154;;7,162;201,316;10,865;3,364;217;;;19,888;;62;625;;;;;;;;;;;;1,673;4,232;0;0;1,155;4,084;0;0;24;208;0;0;0;30;0;0;1,870;;470;;;4.5;3;1;;;;3;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;150.35 ;10.12 ;21 ;3.6 
4;Amberg/Oberpf. FH;Ostbayerische Technische Hochschule Amberg-Weiden ;EX801;2;3,114;87;2,592;7,353;3,654;189;3,001;246;168;10;0;2;1,538;1,482;287;122;187;35;72,760;953;286;41,409;0;0;937;15;0;1,390;5;0;0;2;928;66;0;25;0;66;0;0;0;0;0;0;0;0;0;0;51,609;7,998;164,496;36,715;150,194;0;679;108;14,376;170;21,706;1;9,831;4,072;1,570;5,194;0;0;953;7,998;0;0;0;953;7,998;235,453;235,453;169,802;0;0;0;1,146;144,307;0;446,207;825,967;815,670;0;10,289;825,959;38,042;11,132;674;N;N;95,470;;207;2,228;0;0;0;0;150,693;N;428;34,799;998,385;978,311;0;633;4,163;0;0;593;3,840;0;0;26;396;0;0;0;0;0;0;N;N;N;N;N;6.93;4.67;2.26;0;0;0.36;0;41.5;0;0;0;0;0;0;0;0;0;0;0;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;94;463;58;2;29.8;1 ;696 ;#WERT!;318.66 ;8.65 ;46 ;1.2 
5;Ansbach FHB;Hochschule Ansbach. Hochschulbibliothek;EZ020;2;2,973;105;2,726;;;;589;262;80;0;0;0;1,197;1,088;;0;222;13;69,461;2,207;1,721;91,770;;;0;0;0;0;;;;;;0;0;0;0;;;;0;0;0;0;;;;0;30,089;N;96,880;;;;;;;121;17,850;3;8,145;2,264;238;N;0;0;2,207;N;0;0;N;2,207;N;171,080;170,000;96,880;;0;;1,080;28,780;0;310,366;510,226;510,226;;3,280;513,506;39,440;18,620;697;N;N;126,202;;101;1,083;;;;;204,850;;N;N;264,093;;;220;1,148;;;208;1,097;;;0;121;;;;;;;N;;;;;6.05;3.55;2.5;;;0.4;0;14;2;0;1;0;1;121;69,461;8,145;171,080;6.05;310,366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95;353;72;2;41;0 ;352 ;0.89 ;187.17 ;4.04 ;17 ;0.6 
6;Ansbach SB;Staatliche Bibliothek, Schlossbibliothek Ansbach;AG127;1;N;;1,242;;;;;247;36;65;6;25;874;N;;N;31;5;139,523;1,865;55;;97;;;;;;509;150;;;;;;;;;;;350;;;;173;;;;1,471;87;666;;;;507;32;;199;8,198;0;;;;;;;1,865;51;0;0;36;1,865;87;47,587;45,679;666;;0;;2,702;55,198;4,816;;N;N;;2,083;;11,177;3,853;190;8,096;N;16,099;;32;239;;;;;74,693;;;;;;;707;4,781;7;0;700;4,583;7;0;16;354;7;;0;5;0;0;2,332;467;1,111;;;4;3;1;;;;6;0;1;1;;;;199;139,523;;47,587;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;1.59 ;#WERT!;#WERT!;0 ;#DIV/0!
7;Aschaffenburg HofB;Hofbibliothek Aschaffenburg  ;AK128;1;N;N;1,259;2,207;N;N;N;243;30;92;3;8;680;182;142;356;27;6;141,496;1,874;132;57,939;755;N;24,368;0;0;0;127;21;24,220;0;0;3,257;6;0;196;0;3,118;139;228;0;0;0;180;9;38;4;1,112;42;504;0;0;0;849;84;0;103;4,868;0;53;0;0;0;0;0;1,874;42;0;0;0;1,874;42;57,939;57,645;504;0;0;0;1,987;45,873;6,744;N;103,812;127,100;0;0;127,100;16,176;5,861;511;N;N;13,339;;61;577;N;0;0;0;60,004;N;N;N;N;N;N;2,216;4,099;0;0;1,423;3,488;0;0;23;259;0;0;1,423;3,488;0;0;1,800;N;480;N;N;3.5;2.5;1;0;0;0;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;82.46 ;7.78 ;7 ;0.0 
8;Aschaffenburg TH;Technische Hochschule Aschaffenburg.Hochschulbibliothek;DZ488;1;3,187;103;4,360;5,549;3,827;N;1,138;268;52;0;0;2;793;555;105;133;110;13;50,978;1,794;705;77,056;0;0;352;14;14;412;3;0;0;0;349;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;38,738;4,408;265,627;32,793;139,043;0;354;9;126,585;118;34,888;1;49,027;48,663;2,730;14,865;0;22,102;1,808;26,510;0;0;0;1,808;26,510;392,850;392,850;280,493;0;0;0;3,558;34,509;0;439,131;866,490;866,490;0;1,304;867,793;46,094;21,037;2,951;N;N;147,549;;303;2,704;285;0;0;22;237;N;3,922;226,168;740,850;740,850;3,503;1,177;1,741;0;0;1,139;1,544;0;0;21;465;0;0;0;0;0;0;2,127;N;0;N;N;6.5;2.5;3;0;0;1;0.5;35;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;169;33;2;44.8;1 ;909 ;0.38 ;198.74 ;5.87 ;37 ;0.2 
9;Augsburg FH;Hochschule Augsburg  Bibliothek;AT565;1;6,676;176;5,691;14,359;8,978;190;3,146;285;70;49;0;0;1,623;1,187;171;265;143;34;123,893;3,322;1,431;161,212;0;0;N;N;N;N;;;;;;N;N;N;N;;;;0;0;0;0;;;;0;196,883;30,696;483,706;68,621;344,119;0;N;19;139,586;203;53,071;3;27,342;21,708;3,017;41,447;N;1;3,169;30,697;0;0;0;3,169;30,697;687,122;686,367;483,706;0;0;0;755;45,935;0;432,895;1,165,952;1,165,952;0;10,051;1,176,003;80,072;35,838;1,607;N;N;N;;202;2,582;0;0;0;0;N;N;458;66,523;1,527,182;1,451,432;0;1,795;2,160;;;1,757;2,022;0;;82;164;;;0;0;;;N;;;;;8.66;4.16;4.5;0;0;1;1;22;;;;;;;;;;;;7,531;1,312;3,138;61;15;121;52;50;2;1;2,740;2,441;0;84;0;75;75;0;1;0;1,317;570;306;25;2;10,806;7,504;743;263;6;2,175;507;688;23;4;43,970;23,724;12,919;605;62;12,524;6,204;591;176;3;451;0;438;0;3;1,625;1,562;0;57;0;19,695;16,037;2,397;402;21;2,478;2,478;0;75;0;2,742;1,128;410;26;1;95;95;0;1;0;139;114;0;2;0;59;59;0;2;0;109;109;0;4;0;10,025;8,458;884;205;6;8,615;7,320;1,148;180;8;12,911;6,401;1,430;107;15;104;104;0;2;0;967;130;166;5;2;17,326;11,115;4,324;287;38;955;404;196;8;4;0;0;0;0;0;15;15;0;1;0;622;103;427;6;7;391;179;0;9;0;1,073;518;526;33;6;0;0;0;0;0;0;0;0;0;0;208;75;0;3;0;190;171;0;6;2;25;25;0;1;0;98;173;21;1;#WERT!;0 ;377 ;0.14 ;204.88 ;#WERT!;18 ;0.9 
10;Augsburg SuStB;Staats- und Stadtbibliothek Augsburg;AK037;1;0;0;3,239;N;N;N;N;245;38;95;7;10;2,946;304;N;2,435;40;6;582,504;4,234;19;120,720;2,799;178;N;N;N;N;N;N;21,836;0;0;N;N;N;N;N;N;N;4,097;12;0;14,347;3,566;135;284;60;N;N;N;0;0;0;N;N;N;1,373;19,021;2;11,526;1,395;655;3,734;N;N;2,442;N;1,951;N;N;4,393;N;143,752;120,720;3,734;N;0;0;23,031;151,013;8,088;N;294,765;281,123;4,175;9,467;294,765;18,755;4,222;97;N;14,021;19,708;;52;388;0;0;0;0;56,533;82;709;N;N;0;0;2,839;1,599;0;0;2,307;1,448;0;0;108;118;0;0;102;118;N;N;2,973;903;209;244;758;14.25;7.5;5;1.75;0;0;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;91.00 ;14.96 ;2 ;4.6 
